Cultivar,Genus,Species,Common_Name,Scientific_Name,Location_Type,X,Y,NEIGH_NAME
,,,,,,505546.8796,5451851.3733,Glenbrooke North
,,,,,,505797.8856,5451801.275,Glenbrooke North
,,,,,,505797.8856,5451801.275,Glenbrooke North
,,,,,,506526.0396,5452061.0379,Glenbrooke South
,,,,,,506526.0396,5452061.0379,Glenbrooke South
,,,,,,506510.9583,5452079.0296,Glenbrooke South
,,,,,,506510.9583,5452079.0296,Glenbrooke South
,,,,,,506496.6708,5452097.8151,Glenbrooke South
,,,,,,506496.6708,5452097.8151,Glenbrooke South
,,,,,,506482.1187,5452116.0714,Glenbrooke South
,,,,,,506482.1187,5452116.0714,Glenbrooke South
,,,,,,506467.302,5452134.3277,Glenbrooke South
,,,,,,506555.7158,5450655.96,Queens Park
,,,,,,506569.3419,5450667.4694,Queens Park
,,,,,,506569.3419,5450667.4694,Queens Park
,,,,,,506582.3065,5450678.4496,Queens Park
,,,,,,506582.3065,5450678.4496,Queens Park
,,,,,,506600.9596,5450693.5309,Queens Park
,,,,,,506600.9596,5450693.5309,Queens Park
,,,,,,506618.2899,5450708.3476,Queens Park
,,,,,,506467.302,5452134.3277,Glenbrooke South
,,,,,,506496.4062,5452062.0963,Glenbrooke North
,,,,,,506618.2899,5450708.3476,Queens Park
,,,,,,506692.9687,5450667.304,Queens Park
,,,,,,506692.9687,5450667.304,Queens Park
,,,,,,506707.9838,5450649.4446,Queens Park
,,,,,,506496.4062,5452062.0963,Glenbrooke North
,,,,,,506480.002,5452080.3526,Glenbrooke North
,,,,,,506480.002,5452080.3526,Glenbrooke North
,,,,,,506464.127,5452095.963,Glenbrooke North
,,,,,,506464.127,5452095.963,Glenbrooke North
,,,,,,506448.5165,5452114.2193,Glenbrooke North
,,,,,,506448.5165,5452114.2193,Glenbrooke North
,,,,,,506431.8477,5452133.7985,Glenbrooke North
,,,,,,506431.8477,5452133.7985,Glenbrooke North
,,,,,,506504.7854,5451972.2678,Glenbrooke North
,,,,,,506504.7854,5451972.2678,Glenbrooke North
,,,,,,506500.5521,5451968.0345,Glenbrooke North
,,,,,,506500.5521,5451968.0345,Glenbrooke North
,,,,,,506495.2604,5451963.8011,Glenbrooke North
,,,,,,506333.0211,5451196.3252,Queens Park
,,,,,,506323.8929,5451189.3137,Queens Park
,,,,,,506323.8929,5451189.3137,Queens Park
,,,,,,506342.6784,5451188.6522,Queens Park
,,,,,,506342.6784,5451188.6522,Queens Park
,,,,,,506495.2604,5451963.8011,Glenbrooke North
,,,,,,506303.3877,5451172.9095,Queens Park
,,,,,,506490.0349,5451958.3771,Glenbrooke North
,,,,,,506490.0349,5451958.3771,Glenbrooke North
,,,,,,506479.5838,5451950.1089,Glenbrooke North
,,,,,,506303.3877,5451172.9095,Queens Park
,,,,,,506311.0606,5451162.8553,Queens Park
,,,,,,506311.0606,5451162.8553,Queens Park
,,,,,,506479.5838,5451950.1089,Glenbrooke North
,,,,,,506323.0992,5451172.1157,Queens Park
,,,,,,506323.0992,5451172.1157,Queens Park
,,,,,,506474.9536,5451946.4047,Glenbrooke North
,,,,,,506474.9536,5451946.4047,Glenbrooke North
,,,,,,506469.1989,5451941.8407,Glenbrooke North
,,,,,,506469.1989,5451941.8407,Glenbrooke North
,,,,,,506463.3119,5451937.0781,Glenbrooke North
,,,,,,506463.3119,5451937.0781,Glenbrooke North
,,,,,,506608.7082,5451830.0278,Glenbrooke North
,,,,,,506608.7082,5451830.0278,Glenbrooke North
,,,,,,506601.2998,5451824.2069,Glenbrooke North
,,,,,,506601.2998,5451824.2069,Glenbrooke North
,,,,,,506595.8758,5451819.3783,Glenbrooke North
,,,,,,506595.8758,5451819.3783,Glenbrooke North
,,,,,,506587.8391,5451812.8629,Glenbrooke North
,,,,,,506587.8391,5451812.8629,Glenbrooke North
,,,,,,506581.6214,5451807.7697,Glenbrooke North
,,,,,,506707.9838,5450649.4446,Queens Park
,,,,,,506714.4,5450659.4988,Queens Park
