Cultivar,Genus,Species,Common_Name,Scientific_Name,Location_Type,X,Y,NEIGH_NAME
,,,,,,505355.6369,5449277.0535,North Arm South
,,,,,,505355.6369,5449277.0535,North Arm South
,,,,,,505361.7224,5449277.1858,North Arm South
,,,,,,505361.7224,5449277.1858,North Arm South
,,,,,,505373.6286,5449276.6566,North Arm South
,,,,,,505373.6286,5449276.6566,North Arm South
,,,,,,505312.9066,5449268.8514,North Arm South
,,,,,,505312.9066,5449268.8514,North Arm South
,,,,,,505322.1671,5449269.9097,North Arm South
,,,,,,505322.1671,5449269.9097,North Arm South
,,,,,,505331.0306,5449269.116,North Arm South
,,,,,,505331.0306,5449269.116,North Arm South
,,,,,,505347.3025,5449268.5868,North Arm South
,,,,,,505347.3025,5449268.5868,North Arm South
,,,,,,506089.2042,5449561.1722,Downtown
,,,,,,505374.4224,5449268.7191,North Arm South
,,,,,,505374.4224,5449268.7191,North Arm South
,,,,,,505531.7583,5449037.1883,North Arm South
,,,,,,503707.3704,5450497.4475,Westend
,,,,,,505501.5813,5450739.2455,Brow of the Hill
,,,,,,505501.5813,5450739.2455,Brow of the Hill
,,,,,,505361.0481,5451163.3542,Uptown
,,,,,,505361.0481,5451163.3542,Uptown
,,,,,,503482.5058,5447270.5413,Queensborough
,,,,,,503482.5058,5447270.5413,Queensborough
,,,,,,503470.3671,5447257.564,Queensborough
,,,,,,503470.3671,5447257.564,Queensborough
,,,,,,503453.3661,5447250.1421,Queensborough
,,,,,,503453.3661,5447250.1421,Queensborough
,,,,,,503427.868,5447233.4509,Queensborough
,,,,,,503427.868,5447233.4509,Queensborough
,,,,,,503408.4363,5447227.8804,Queensborough
,,,,,,503408.4363,5447227.8804,Queensborough
,,,,,,503407.2227,5447226.0268,Queensborough
,,,,,,503407.2227,5447226.0268,Queensborough
,,,,,,503403.5798,5447224.1718,Queensborough
,,,,,,503403.5798,5447224.1718,Queensborough
,,,,,,503398.721,5447224.1688,Queensborough
,,,,,,503398.721,5447224.1688,Queensborough
,,,,,,506089.2042,5449561.1722,Downtown
,,,,,,506089.2042,5449561.1722,Downtown
,,,,,,506089.2042,5449561.1722,Downtown
,,,,,,506090.5271,5449562.429,Downtown
,,,,,,506090.5271,5449562.429,Downtown
,,,,,,506091.7177,5449562.892,Downtown
,,,,,,506091.7177,5449562.892,Downtown
,,,,,,504479.3532,5448096.7537,Queensborough
,,,,,,505585.0907,5449008.1612,North Arm South
,,,,,,505585.0907,5449008.1612,North Arm South
,,,,,,505577.8521,5449000.6272,North Arm South
,,,,,,505577.8521,5449000.6272,North Arm South
,,,,,,505565.7386,5449002.3999,North Arm South
,,,,,,505565.7386,5449002.3999,North Arm South
,,,,,,505567.5113,5449006.7578,North Arm South
,,,,,,505567.5113,5449006.7578,North Arm South
,,,,,,505560.2728,5449017.6896,North Arm South
,,,,,,505560.2728,5449017.6896,North Arm South
,,,,,,505541.9547,5449021.6782,North Arm South
,,,,,,505541.9547,5449021.6782,North Arm South
,,,,,,505538.1844,5449027.2907,North Arm South
,,,,,,505538.1844,5449027.2907,North Arm South
,,,,,,505550.9627,5449032.3872,North Arm South
,,,,,,504479.3532,5448096.7537,Queensborough
,,,,,,503378.0734,5447220.4505,Queensborough
,,,,,,503378.0734,5447220.4505,Queensborough
,,,,,,505550.9627,5449032.3872,North Arm South
,,,,,,505545.94,5449039.8474,North Arm South
,,,,,,505545.94,5449039.8474,North Arm South
,,,,,,505540.7696,5449047.9723,North Arm South
,,,,,,505540.7696,5449047.9723,North Arm South
,,,,,,505532.7924,5449060.529,North Arm South
,,,,,,505532.7924,5449060.529,North Arm South
,,,,,,505535.4515,5449031.7224,North Arm South
,,,,,,505535.4515,5449031.7224,North Arm South
,,,,,,505531.7583,5449037.1883,North Arm South
,,,,,,505529.3208,5449041.0292,North Arm South
,,,,,,505529.3208,5449041.0292,North Arm South
,,,,,,505525.1107,5449047.7507,North Arm South
,,,,,,505525.1107,5449047.7507,North Arm South
,,,,,,505523.0425,5449051.2223,North Arm South
,,,,,,505523.0425,5449051.2223,North Arm South
,,,,,,505519.1278,5449057.0574,North Arm South
,,,,,,505519.1278,5449057.0574,North Arm South
,,,,,,505517.0596,5449060.6767,North Arm South
,,,,,,505517.0596,5449060.6767,North Arm South
,,,,,,505522.1561,5449070.5744,North Arm South
,,,,,,505522.1561,5449070.5744,North Arm South
,,,,,,505517.7982,5449077.7391,North Arm South
,,,,,,505517.7982,5449077.7391,North Arm South
,,,,,,505508.4838,5449073.7119,North Arm South
,,,,,,505508.4838,5449073.7119,North Arm South
,,,,,,505503.6088,5449081.763,North Arm South
,,,,,,505503.6088,5449081.763,North Arm South
,,,,,,505500.5804,5449085.9731,North Arm South
,,,,,,505500.5804,5449085.9731,North Arm South
,,,,,,505498.5861,5449089.297,North Arm South
,,,,,,505498.5861,5449089.297,North Arm South
,,,,,,505495.7055,5449093.9504,North Arm South
,,,,,,505495.7055,5449093.9504,North Arm South
,,,,,,505493.3419,5449097.6435,North Arm South
,,,,,,505493.3419,5449097.6435,North Arm South
,,,,,,505513.211,5449090.922,North Arm South
,,,,,,505513.211,5449090.922,North Arm South
,,,,,,505505.4554,5449103.4048,North Arm South
,,,,,,505505.4554,5449103.4048,North Arm South
,,,,,,505500.5066,5449110.865,North Arm South
,,,,,,505500.5066,5449110.865,North Arm South
,,,,,,505495.3361,5449119.0638,North Arm South
,,,,,,505495.3361,5449119.0638,North Arm South
,,,,,,505490.47,5449102.0742,North Arm South
,,,,,,505490.47,5449102.0742,North Arm South
,,,,,,505486.4814,5449108.0571,North Arm South
,,,,,,505486.4814,5449108.0571,North Arm South
,,,,,,505486.8507,5449132.2103,North Arm South
,,,,,,505486.8507,5449132.2103,North Arm South
,,,,,,505481.9019,5449140.4829,North Arm South
,,,,,,505481.9019,5449140.4829,North Arm South
,,,,,,505483.6746,5449112.7105,North Arm South
,,,,,,505483.6746,5449112.7105,North Arm South
,,,,,,505481.6065,5449115.8866,North Arm South
,,,,,,505481.6065,5449115.8866,North Arm South
,,,,,,505479.0951,5449119.949,North Arm South
,,,,,,505479.0951,5449119.949,North Arm South
,,,,,,505476.8792,5449123.9376,North Arm South
,,,,,,505476.8792,5449123.9376,North Arm South
,,,,,,505473.9986,5449128.1478,North Arm South
,,,,,,505473.9986,5449128.1478,North Arm South
,,,,,,505469.0497,5449135.7557,North Arm South
,,,,,,505469.0497,5449135.7557,North Arm South
,,,,,,505465.9475,5449140.6307,North Arm South
,,,,,,505465.9475,5449140.6307,North Arm South
,,,,,,504163.4882,5450043.5822,Westend
,,,,,,504163.4882,5450043.5822,Westend
,,,,,,503778.1517,5450554.3,Westend
,,,,,,503778.1517,5450554.3,Westend
,,,,,,503707.3704,5450497.4475,Westend
,,,,  ,,505201.2751,5450576.9915,Brow of the Hill
,,,,  ,,505201.2751,5450576.9915,Brow of the Hill
,,,,  ,,505195.9834,5450583.0769,Brow of the Hill
,,,,  ,,505195.9834,5450583.0769,Brow of the Hill
,,,,  ,LAWN BOULEVARD,503758.7561,5447575.9854,Queensborough
,,,,  ,LAWN BOULEVARD,503482.9603,5447382.2207,Queensborough
,,,,  ,LAWN BOULEVARD,504334.617,5448622.4045,Queensborough
